Comunidad;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31
Andalucía;0;0;0;0;0;2;4;1;4;8;4;7;10;7;11;29;26;21;10;31;32;29;12;60;35;33;50;44;21;37;77;47;39;46;62;16;21;29;47;28;27;26;20;4;33;29;28;24;14;12;11;20;19;31;15;3;7;4;14;13;7;16;3;2;4;6;4;8;11;3;0;9;4;4;2;12;2;-57;70;0;0;0;0;0;0
Aragón;3;1;0;2;1;0;0;4;1;1;2;2;5;2;8;5;3;8;10;35;11;2;32;31;31;24;27;19;14;28;37;36;24;16;25;14;28;22;29;19;39;18;18;6;13;25;14;14;3;14;9;1;3;10;12;0;1;8;18;12;15;8;1;1;3;1;7;1;1;0;0;5;4;1;10;0;0;-32;0;0;0;0;0;0;0
Cantabria;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;3;5;3;4;1;4;1;10;17;6;4;4;0;9;8;7;6;4;5;3;7;3;12;5;7;5;4;5;7;2;6;5;4;1;3;2;3;0;1;1;2;2;1;1;1;1;0;0;0;2;2;0;1;0;1;0;1;1;0;0;0;0;-7;0;0;0;0;0;0;0
Castilla y León;0;0;0;0;0;1;2;3;6;10;7;14;12;19;28;22;41;41;46;69;59;62;74;69;56;82;63;61;72;63;46;54;47;51;41;42;36;38;35;29;28;29;35;28;33;28;30;27;27;24;20;26;16;18;18;12;18;14;15;17;12;9;12;8;9;5;6;5;10;6;7;7;0;0;1;0;0;-48;9;0;0;0;1;1;0
Castilla-La Mancha;0;0;0;1;4;1;4;7;0;11;14;0;42;28;33;71;47;53;51;81;91;83;86;66;80;62;73;66;77;45;78;67;109;52;60;83;88;41;41;56;61;50;58;54;65;48;67;37;38;35;31;40;27;35;36;31;25;26;31;30;36;25;21;27;25;24;17;18;13;10;5;2;13;6;10;5;6;-152;157;0;0;0;0;0;0
Cataluña;2;0;1;3;3;4;2;5;3;10;20;40;29;21;56;94;92;116;184;142;77;79;233;242;171;155;144;125;114;162;133;205;120;90;98;130;96;252;165;134;127;54;76;143;95;96;50;105;68;133;109;97;70;86;76;48;35;50;75;49;77;36;25;23;66;71;131;59;33;29;12;25;40;0;635;7;38;-1126;8;0;1;0;3;0;0
Ceuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;0;0
Comunidad de Madrid;16;5;10;25;25;5;127;0;142;35;108;130;176;217;242;272;290;265;322;345;325;310;211;262;310;308;240;218;195;235;215;214;172;112;194;145;145;156;153;130;125;107;112;109;117;107;81;83;74;64;62;57;71;46;70;40;44;44;46;38;48;46;46;39;37;40;19;30;17;21;16;31;18;19;13;12;21;-291;5;0;0;0;0;0;0
Comunidad Valenciana;1;0;0;0;0;3;1;0;8;9;2;9;17;19;25;21;28;24;31;36;33;43;29;56;48;68;60;42;24;35;52;43;29;22;20;38;31;38;27;27;43;23;14;10;17;18;23;25;14;3;11;18;18;9;13;6;5;10;12;12;6;6;8;7;6;5;8;9;7;1;4;6;2;5;6;1;3;-62;1;0;0;2;-2;0;0
Extremadura;0;0;1;0;0;1;0;0;1;3;2;2;2;2;4;8;13;19;11;19;12;6;27;19;29;19;8;10;10;30;13;12;5;15;9;9;13;8;17;13;8;4;5;8;7;3;4;5;6;6;5;7;6;5;7;2;0;2;1;4;5;5;3;3;4;2;3;2;3;3;0;4;0;1;1;1;0;-1;1;0;0;0;1;0;0
Galicia;0;0;0;0;0;0;2;0;1;0;1;1;4;3;6;2;7;5;11;4;13;6;18;19;17;18;21;15;16;14;9;18;12;18;13;10;6;9;11;10;14;12;6;8;8;7;7;6;6;11;7;139;0;7;5;6;6;4;9;3;1;3;1;1;1;1;4;0;1;2;1;0;0;1;1;1;3;-6;0;1;0;0;1;0;0
Islas Baleares;0;0;0;1;0;0;0;0;0;0;1;0;2;0;6;0;3;4;5;4;3;8;5;4;12;11;2;4;6;3;5;0;8;5;10;5;1;7;6;3;14;7;2;4;3;4;4;2;1;4;2;4;3;5;4;0;0;1;1;2;1;5;2;0;1;5;1;0;0;2;0;1;2;0;1;0;0;-11;-2;0;0;0;0;0;0
Islas Canarias;0;0;0;0;0;1;0;0;1;1;0;1;3;2;2;5;5;3;3;9;3;1;15;7;6;5;5;2;5;4;2;1;2;1;0;1;6;2;3;4;4;4;0;1;1;0;7;2;1;0;2;1;1;1;4;0;1;1;1;1;4;0;0;1;2;0;0;0;0;0;2;2;0;0;0;2;0;-7;0;1;0;0;0;0;0
La Rioja;0;1;1;0;1;0;0;1;1;0;0;2;8;3;4;8;7;6;12;10;3;3;14;5;11;8;19;6;7;19;17;5;14;11;12;4;11;12;11;5;10;5;8;9;4;5;4;4;4;5;6;4;2;1;1;1;0;1;1;1;4;2;2;0;1;1;0;0;0;1;2;1;1;1;2;1;1;0;2;0;0;0;0;1;0
Melilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Navarra;0;0;0;0;0;0;0;1;1;1;1;1;4;5;10;7;2;16;9;12;14;18;11;17;11;10;20;7;9;15;4;8;4;9;5;7;10;3;9;77;16;15;16;12;4;8;8;12;2;1;0;16;3;7;2;2;4;5;5;4;4;3;1;2;3;1;4;2;1;2;0;0;0;3;2;1;0;-19;0;0;0;0;0;0;0
País Vasco;6;0;0;5;3;0;9;0;13;4;13;18;14;12;23;13;22;25;27;34;24;32;28;44;43;32;33;38;33;38;49;54;40;36;39;27;28;43;54;36;28;42;19;22;21;43;26;19;18;11;14;19;22;16;9;8;12;12;11;19;7;13;15;5;6;13;12;0;1;4;7;4;10;3;4;7;0;-70;0;0;0;0;0;0;0
Principado de Asturias;0;0;0;1;0;0;0;0;0;0;0;1;3;3;4;10;3;2;2;4;8;8;6;8;6;1;6;4;6;10;6;8;11;7;12;9;7;10;2;6;13;9;4;2;9;12;8;8;10;4;8;5;7;0;6;1;4;0;3;5;0;1;2;4;5;3;1;2;3;2;2;-14;1;3;0;0;1;-20;22;0;0;0;0;0;0
Región de Murcia;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;3;7;2;3;5;9;3;5;4;5;8;9;10;7;3;2;4;3;4;5;3;2;1;3;1;1;3;3;1;1;1;1;1;2;0;0;2;0;2;0;2;0;1;0;1;1;0;0;3;0;1;1;0;1;0;3;1;0;0;0;-10;9;0;0;0;0;0;0