Comunidad;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17
Andalucía;11;0;0;0;0;0;0;0;0;22;0;3;0;2;12;16;5;6;15;47;9;7;5;22;46;30;205;202;133;102;141;152;244;193;208;129;65;192;410;156;158;168;113;182;158;278;145;303;446;149;149;233;438;624;487;76;124;209;449;397;359;344;241;185;92;184;437;230;171;292;60
Aragón;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;4;0;117;49;30;53;63;58;62;97;28;13;81;59;79;91;46;12;17;49;75;34;0;54;3;4;348;150;101;148;31;50;71;108;102;91;92;84;66;80;86;90;73;53;70;40;70;126;159;63;121;72;45
Cantabria;0;0;0;6;1;0;3;0;0;0;0;0;1;0;0;1;0;2;5;2;3;0;11;8;17;14;25;14;5;11;46;39;51;16;16;20;6;40;79;68;24;76;16;20;72;132;63;133;81;114;49;82;111;26;42;65;4;38;38;62;28;76;71;30;18;73;56;42;43;78;14
Castilla y León;0;0;0;0;1;1;1;2;0;0;22;10;17;35;28;23;73;95;115;162;167;119;157;231;239;261;262;310;202;178;277;254;264;251;253;144;112;255;204;199;179;159;104;63;185;163;166;90;175;64;51;125;121;117;127;43;44;35;101;113;82;86;112;24;19;72;77;51;63;981;0
Castilla-La Mancha;2;0;0;0;0;3;0;7;0;3;12;0;11;10;3;2;18;24;58;44;39;0;16;145;97;85;78;492;110;94;204;209;216;223;160;167;411;55;380;222;238;125;215;64;95;240;205;94;320;86;24;76;130;103;87;70;22;30;38;33;86;81;67;43;9;24;39;50;34;50;14
Cataluña;2;3;1;6;7;13;7;6;13;21;24;44;45;55;155;229;330;47;474;235;249;202;465;444;606;193;713;560;225;776;1170;694;691;562;343;430;347;1093;481;826;488;416;243;512;643;388;661;615;253;891;422;741;555;25;273;419;1566;655;328;350;433;399;286;105;512;360;523;55;163;105;31
Ceuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;0;5;5;0;3;2;8;11;3;9;6;15;-1;3;0;8;14;6;3;3;4;12;12;2;1;1;3;5;0;4;0;0;0;0;2;3;1;3;0;0
Comunidad de Madrid;0;109;48;0;0;317;0;0;296;0;171;245;356;357;164;228;740;851;1162;1282;1165;810;1029;1497;1573;1450;1512;1181;779;1088;1426;1285;1293;1249;1020;702;862;1186;1058;945;1039;838;449;515;755;613;567;690;465;198;276;473;393;447;376;174;104;194;329;339;305;252;302;75;147;233;215;184;203;112;38
Comunidad Valenciana;1;0;0;0;1;0;0;0;10;4;3;1;5;5;6;1;7;13;16;19;69;24;15;40;192;160;103;117;118;173;241;428;313;204;335;179;266;291;342;322;282;241;82;90;292;377;421;224;210;74;106;176;287;192;209;160;59;149;92;263;171;615;65;84;144;179;222;218;53;146;63
Extremadura;1;0;0;2;0;1;0;0;1;1;0;1;1;0;0;0;0;16;9;16;2;9;31;22;26;25;41;10;8;59;46;53;16;65;19;30;67;37;34;58;29;31;91;63;130;186;121;152;72;70;81;64;90;73;57;55;18;56;43;76;47;42;15;40;13;34;26;105;22;27;16
Galicia;0;0;0;0;0;3;1;0;0;0;0;1;1;10;3;0;6;22;20;28;58;15;19;72;74;102;96;56;23;78;112;110;87;85;61;43;54;58;85;73;51;29;12;40;37;51;54;53;20;13;25;3552;180;243;165;94;159;327;241;157;179;87;122;97;376;176;161;126;537;335;49
Islas Baleares;1;0;0;0;0;0;0;0;0;3;2;4;1;6;1;1;9;11;28;13;2;18;11;59;69;136;47;39;70;6;79;80;41;20;91;14;9;10;37;20;20;35;12;0;12;30;34;21;21;13;30;30;23;26;23;16;10;13;14;24;29;21;6;14;8;42;27;21;6;4;10
Islas Canarias;4;1;0;0;0;2;0;0;1;0;1;0;0;0;0;0;6;3;2;5;5;2;25;20;17;8;21;14;20;35;57;110;27;46;15;11;131;33;51;57;55;4;24;65;49;42;48;19;11;0;28;32;24;18;0;1;16;24;33;35;60;24;4;45;65;19;21;10;18;0;13
La Rioja;0;0;1;0;0;0;0;1;0;0;0;11;5;0;0;6;19;5;14;302;33;34;65;73;72;104;98;61;60;30;67;111;84;81;83;38;61;63;72;75;48;39;17;33;33;38;27;35;38;12;15;27;68;61;59;18;15;33;51;61;69;55;67;52;49;55;63;60;63;58;59
Melilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;2;0;0;1;4;1;1;0;0;0;6;3;3;0;14;2;0;4;5;6;16;4;6;5;3;1;0;0;2;3;0;3;4;0;0;3;2;2;0;4;0;3;2;1
Navarra;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;4;12;12;35;28;27;36;31;44;42;16;17;23;46;41;29;12;98;43;47;45;35;78;37;47;62;38;131;67;126;129;107;185;98;83;60;104;31;72;96;130;83;68;66;104;95;90;97;56;85;142;103;150;108;93;154
País Vasco;2;0;0;0;0;3;0;0;6;3;4;3;144;51;67;61;122;155;193;209;480;143;150;369;325;319;289;307;163;160;423;363;166;61;126;159;167;235;385;331;412;416;152;153;374;485;323;482;661;238;134;500;462;444;425;219;131;96;498;321;470;445;661;72;195;73;270;0;422;350;132
Principado de Asturias;0;1;0;0;0;0;0;2;0;1;0;8;4;4;1;9;5;5;12;13;11;2;12;19;26;19;36;26;6;22;50;46;32;42;16;4;24;29;35;23;30;21;3;17;26;23;23;28;33;10;21;29;26;25;30;18;9;19;17;18;12;29;10;4;5;7;8;7;2;6;2
Región de Murcia;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;5;3;0;4;1;3;23;2;45;23;17;26;37;10;16;36;20;69;9;123;37;3;29;93;14;10;40;59;5;25;51;78;70;123;40;49;27;22;9;17;104;84;62;135;105;15;4;33;42;137;36;39;11;96